1625237007.063265 client started (73073): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1625237007.063324 on Darwin 20.4.0 Darwin Kernel Version 20.4.0: Thu Apr 22 21:46:47 PDT 2021; root:xnu-7195.101.2~1/RELEASE_X86_64
1625237007.063352 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1625237007.063401 flags are 0x10010000
1625237007.063420 socket is /private/tmp/tmux-501/default
1625237007.063445 trying connect
1625237007.063534 add peer 0x7fe799d31000: 7 (0x0)
1625237007.065525 sending message 100 to peer 0x7fe799d31000 (4 bytes)
1625237007.065554 sending message 111 to peer 0x7fe799d31000 (8 bytes)
1625237007.065570 sending message 101 to peer 0x7fe799d31000 (16 bytes)
1625237007.065582 sending message 109 to peer 0x7fe799d31000 (4 bytes)
1625237007.065600 sending message 102 to peer 0x7fe799d31000 (13 bytes)
1625237007.065613 sending message 108 to peer 0x7fe799d31000 (34 bytes)
1625237007.065625 sending message 112 to peer 0x7fe799d31000 (70 bytes)
1625237007.065637 sending message 112 to peer 0x7fe799d31000 (5 bytes)
1625237007.065656 sending message 112 to peer 0x7fe799d31000 (5 bytes)
1625237007.065668 sending message 112 to peer 0x7fe799d31000 (6 bytes)
1625237007.065679 sending message 112 to peer 0x7fe799d31000 (6 bytes)
1625237007.065691 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.065702 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.065718 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065739 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065758 sending message 112 to peer 0x7fe799d31000 (18 bytes)
1625237007.065780 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.065801 sending message 112 to peer 0x7fe799d31000 (21 bytes)
1625237007.065819 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065838 sending message 112 to peer 0x7fe799d31000 (7 bytes)
1625237007.065861 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065880 sending message 112 to peer 0x7fe799d31000 (7 bytes)
1625237007.065894 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065906 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.065917 sending message 112 to peer 0x7fe799d31000 (21 bytes)
1625237007.065928 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065939 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.065951 sending message 112 to peer 0x7fe799d31000 (12 bytes)
1625237007.065962 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.065973 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.065984 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.065996 sending message 112 to peer 0x7fe799d31000 (12 bytes)
1625237007.066007 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066018 sending message 112 to peer 0x7fe799d31000 (7 bytes)
1625237007.066029 sending message 112 to peer 0x7fe799d31000 (7 bytes)
1625237007.066040 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.066052 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.066064 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.066075 sending message 112 to peer 0x7fe799d31000 (15 bytes)
1625237007.066086 sending message 112 to peer 0x7fe799d31000 (13 bytes)
1625237007.066097 sending message 112 to peer 0x7fe799d31000 (12 bytes)
1625237007.066108 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066119 sending message 112 to peer 0x7fe799d31000 (14 bytes)
1625237007.066135 sending message 112 to peer 0x7fe799d31000 (9 bytes)
1625237007.066147 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066158 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066169 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066180 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066197 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.066216 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066238 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066273 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.066292 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.066309 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.066325 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066341 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066352 sending message 112 to peer 0x7fe799d31000 (8 bytes)
1625237007.066362 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066370 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066379 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066388 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066397 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066410 sending message 112 to peer 0x7fe799d31000 (11 bytes)
1625237007.066419 sending message 112 to peer 0x7fe799d31000 (11 bytes)
